Generation,Average,Best,Updates
0,1077,2600,106450
1,2042,3000,201917
2,2433,3200,240570
3,2970,3900,293658
4,2505,3800,247680
5,2302,3500,227638
6,2703,4000,267324
7,2472,3400,244408
8,2714,3800,268447
9,1513,3100,149604
10,1512,2600,149517
11,1627,3000,160867
12,2068,3600,204514
13,1811,2700,179008
14,1760,2900,173838
15,2631,3700,260028
16,2515,3700,248692
17,1747,3000,172890
18,882,1800,87193
19,755,2100,74698
20,654,2500,64706
21,972,2300,96172
22,1853,3400,183351
23,2870,4000,283920
24,2755,4100,272588
25,2320,3500,229609
26,2595,3800,256803
27,2580,3900,255267
28,2609,4000,258156
29,2931,4000,290037
30,994,2000,98372
