Generation,Orientation Variance,Velocity Variance
1,0.0674694792512475,0.000803101473530152
2,0.0678572297956874,0.000488152945279528
3,0.0471253204751288,0.00049094753293596
4,0.0433589933498072,0.00084866719627189
5,0.0452095050156196,0.00199150355396264
6,0.0432230177049042,0.00106749015145105
7,0.046440469354506,0.00348728879449754
8,0.0457223403297855,0.00278487247998561
9,0.0471782101199596,0.00055615700976716
10,0.0492639496501023,0.000149508490993092
11,0.0412679820319902,0.0017147387315499
12,0.0359049418190932,0.000183786034647002
13,0.0263441628538055,0.000365870596000012
14,0.0426371475247894,0.000697978629546677
15,0.0365605367580447,0.000284717179490055
16,0.0328225947430166,0.000538543930779306
17,0.0402931050189279,0.000885823970147958
18,0.0465174801250932,0.00154895884648144
19,0.0311185453403904,0.00014812345993588
20,0.0463911324762961,0.000528828568508188
21,0.0290614133043571,0.000203453233174852
22,0.0358608358788865,0.00182811085569259
23,0.0366953621794991,0.000578996637628934
24,0.0365010291759567,0.000679922583447669
25,0.0334934255184238,0.00128794577707539
26,0.0348186133309052,0.000134418721189683
27,0.0349666516903241,0.000135232863782724
28,0.0415612319754152,0.00126865378030051
29,0.0304520167978047,0.000154800413841939
30,0.0345558700408247,0.000179221979602317
31,0.0286884920930264,0.000933568292791603
32,0.024257148367625,0.00120376018653271
33,0.0243081949189746,0.00067886460241501
34,0.0227302735066899,0.000266208996691103
35,0.0219810294557841,0.00114053710141641
36,0.0267016296495607,0.000793108159387909
37,0.033382397427501,0.00081402705416623
38,0.0252599551577006,0.000589133783565107
39,0.029761201203953,0.00116586455148994
40,0.0225363442708999,0.000378391751404887
41,0.0160044226659339,0.000885832225026812
42,0.0253674791391582,0.000368670544178627
43,0.0187118299555105,0.000291433778696942
44,0.0266483546263962,0.000236626047473069
45,0.0189381268783801,0.00023815855538582
46,0.00945996189330156,0.000125080616615996
47,0.0209138763091606,0.00128115326923
48,0.0159447323010295,0.000256080564430966
49,0.0286605606530667,0.000171401190953498
50,0.03278778011173,0.00143863773653103
51,0.0277013398052305,0.000508612637679919
52,0.0361185352613697,0.000236421072278765
53,0.0263584992762389,0.00234173212438277
54,0.0209781497076004,0.00449096892655883
55,0.0298305093418929,0.0172596033957348
56,0.0200986795526405,0.00327509880871613
57,0.0269724001800078,0.000380789028766431
58,0.0165041693645235,0.00100804295732257
