Step,Best,Average
1,800,39
2,800,68
3,700,23
4,1500,285
5,1600,154
6,2000,187
7,2000,228
8,2100,466
9,1800,328
10,2100,595
11,2300,739
12,2000,815
13,2300,782
14,2400,835
15,2200,1171
16,2100,1191
17,2100,527
18,2300,1314
19,1700,712
20,2100,1198
21,2600,1436
22,2300,1427
23,1800,1010
24,1600,400
25,2100,975
26,700,203
27,2400,1736
28,1700,388
29,2700,1404
30,2600,1264
31,2100,1405
32,2500,1774
33,2300,752
34,1800,1284
35,2300,1134
36,2200,166
37,1800,1092
38,2200,1358
39,2400,1555
40,2500,1097
41,1900,831
42,1600,775
43,300,276
44,0,0
45,300,203
46,1200,429
47,500,230
48,1400,134
49,100,100
50,400,136
51,1400,374
52,2300,1329
53,2000,996
54,2000,639
55,2100,1076
56,2400,1013
57,0,0
58,2100,679
59,700,505
60,900,317
61,1500,465
62,1700,258
63,400,202
64,1000,507
65,1500,554
66,2300,771
67,2700,1151
68,1600,499
69,2600,1521
70,2000,611
71,2100,1362
72,2300,1283
73,1900,1342
74,2100,1303
75,2000,1238
76,2100,1123
77,2200,1402
78,2100,1451
79,2200,1550
80,2100,1299
81,2100,1494
82,2200,1262
83,2000,866
84,2200,986
85,2200,981
86,2500,1212
87,2400,1452
88,2200,1175
89,1900,799
90,2100,1075
91,2200,1091
92,2200,1313
93,2000,1064
94,1200,334
95,2200,814
96,1600,422
97,1500,367
98,2200,1007
99,1300,542
100,1600,170
101,1700,587
102,0,0
103,600,150
104,1900,1216
