Step,Best,Average
1,400,61
2,500,10
3,500,25
4,700,185
5,1600,253
6,1800,238
7,1800,414
8,1800,371
9,2000,442
10,2200,691
11,2000,386
12,1800,395
13,2100,462
14,2100,641
15,1900,842
16,1700,897
17,2000,1105
18,2700,1438
19,2600,1577
20,2200,899
21,1600,84
22,2200,1569
23,2600,1560
24,2100,1520
25,2500,1436
26,2200,1420
27,2400,1520
28,2200,1387
29,2000,1044
30,2200,1508
31,2200,1574
32,2100,1237
33,1600,952
34,2200,1163
35,1800,688
36,2000,1029
37,1900,1168
38,1800,976
39,1300,692
40,0,0
41,200,121
42,0,0
43,0,0
44,700,216
45,1200,475
46,0,0
47,400,400
48,300,300
49,800,332
50,1300,678
51,200,182
52,1500,504
53,700,305
54,1500,399
55,800,254
56,1100,333
57,1200,642
58,0,0
59,1300,695
60,200,200
61,1200,352
62,400,216
63,700,536
64,0,0
65,0,0
66,100,100
67,1000,590
68,100,100
69,200,104
70,500,284
71,400,15
72,100,100
73,0,0
74,2300,947
75,200,200
76,200,200
77,200,200
78,1100,422
79,400,329
80,100,71
81,400,400
82,2200,1204
83,2100,1028
84,700,335
85,2000,886
86,2000,996
87,1400,860
88,2000,1321
89,2000,1280
90,2400,1624
91,2000,1205
92,2300,1359
93,1900,1288
94,2200,1387
95,2400,1336
96,2400,1540
97,2300,1511
98,2100,1586
99,2200,1342
100,2200,1508
101,2800,1914
102,2100,1293
103,2400,1551
104,300,273
105,2400,1551
106,2100,1481
107,2200,1171
108,1700,932
109,1900,1368
110,2300,1481
111,2300,1682
112,2200,1426
113,2100,1068
114,2200,1238
115,2000,696
116,0,0
117,100,100
118,1700,1074
119,1800,766
120,2800,1699
121,100,100
122,2000,1000
123,2100,827
124,2100,954
125,2400,1289
126,1900,1049
127,2400,1541
128,2000,823
129,1800,984
130,2200,1294
131,2400,966
132,2300,1113
133,2000,1257
134,1900,1081
135,2300,1264
136,2400,1227
137,300,300
138,2400,1611
139,2000,1109
140,1800,931
141,2400,1467
142,2300,1387
143,1800,990
144,2700,1328
145,2200,1302
146,1900,721
147,2100,1319
148,1900,811
149,1400,317
150,1800,939
151,2300,1599
152,2000,1078
153,2100,1552
154,2000,1131
155,2500,1508
156,1700,883
157,1800,1092
158,2200,1374
159,2200,1310
160,2000,1152
161,1400,543
162,2000,813
163,2000,775
164,2100,1169
165,2200,1265
166,2000,1162
167,2100,1395
168,1800,1117
169,2200,1444
170,2000,1341
171,1900,1251
172,2100,1484
173,2000,1184
174,2100,1440
175,2100,1083
176,1800,1165
177,700,689
178,1500,942
179,1900,1412
180,1700,1131
181,2300,1161
182,2400,1732
183,1900,1178
184,1700,1067
185,2100,1381
186,2000,1302
187,2300,1128
188,1900,1246
189,1500,593
190,2000,1364
191,2000,1354
192,2100,907
193,500,246
194,2200,1447
195,400,400
196,2200,1528
197,2300,1403
198,1800,928
199,2200,1671
