Generation,Average,Best,Updates
0,76,1400,0
1,828,2800,19800
2,1562,3300,19800
3,1971,3300,19800
4,2227,3400,19800
5,2200,3800,19800
6,1939,2900,19800
7,2359,3400,19800
8,2338,3300,19800
9,2495,3500,19800
10,2351,3500,19800
11,2372,3700,19800
12,2511,3500,19800
13,2145,3400,19800
14,2249,3700,19800
15,2340,3500,19800
16,2235,3900,19800
17,2819,4000,19800
18,2610,3700,19800
19,2748,4000,19800
20,2710,3900,19800
21,2517,3600,19800
22,2687,3500,19800
23,2675,3600,19800
24,2401,3400,19800
25,2580,3600,19800
26,2671,3800,19800
27,2749,3700,19800
28,2670,3400,19800
29,2786,3700,19800
30,2705,3900,19800
31,2989,4100,19800
32,2621,3600,19800
33,2688,3700,19800
34,2687,3600,19800
35,2930,3900,19800
36,2613,3600,19800
37,2768,4500,19800
38,2694,3600,19800
39,2725,3600,19800
40,2688,4000,19800
41,2803,4100,19800
42,2626,3500,19800
43,2647,3600,19800
44,2656,4100,19800
45,2857,4100,19800
46,2852,3600,19800
47,2709,3700,19800
48,2721,3700,19800
49,2660,3500,19800
50,2774,3700,19800
51,2829,3900,19800
52,2797,3800,19800
53,3215,4200,19800
54,2854,3800,19800
55,2751,3500,19800
56,2812,3400,19800
57,2840,4500,19800
58,2852,4100,19800
59,2814,3700,19800
60,2907,4100,19800
61,2924,4000,19800
62,2690,3600,19800
63,2886,4200,19800
64,2834,4100,19800
65,2713,3800,19800
66,2805,3700,19800
67,3024,3900,19800
68,2417,3500,19800
69,2722,3800,19800
70,2869,3800,19800
71,2588,3700,19800
72,2813,4100,19800
73,2600,3600,19800
74,2802,3800,19800
75,2726,3700,19800
76,2443,3500,19800
77,2825,4100,19800
78,2976,4500,19800
79,2862,3800,19800
80,2775,3900,19800
81,2637,3900,19800
82,3228,3900,19800
83,3128,4200,19800
84,2767,3700,19800
85,2768,4000,19800
86,2907,4300,19800
87,2858,4100,19800
88,2972,4400,19800
89,2802,3900,19800
90,2856,3800,19800
91,2893,3900,19800
92,2640,3600,19800
93,2820,3800,19800
94,2641,3700,19800
95,2498,3900,19800
96,2769,3900,19800
97,2695,3800,19800
98,2699,3600,19800
99,2966,3900,19800
100,2908,3800,19800
101,2742,3800,19800
102,2800,3700,19800
103,2867,3600,19800
104,2872,4000,19800
105,2629,3500,19800
106,2768,3900,19800
107,2960,4000,19800
108,2577,3700,19800
109,3344,4400,19800
110,3008,4200,19800
111,2842,3800,19800
112,2917,4000,19800
113,2691,3600,19800
114,2826,3900,19800
115,2670,3500,19800
116,3028,4200,19800
117,2984,3900,19800
118,2903,3900,19800
119,2359,3700,19800
120,2590,3400,19800
121,2851,3800,19800
122,2887,3800,19800
123,2884,3500,19800
124,2970,3800,19800
125,2636,4100,19800
126,2966,3900,19800
127,2850,3600,19800
128,2270,3300,19800
129,2684,4000,19800
130,2876,4300,19800
131,2977,4000,19800
132,2700,3500,19800
133,2920,3800,19800
134,2592,3500,19800
135,2749,3700,19800
136,2232,3800,19800
137,2828,3800,19800
138,3221,4100,19800
139,2515,3600,19800
140,3028,4000,19800
141,2530,3700,19800
142,2759,3900,19800
143,2907,4100,19800
144,2970,3900,19800
145,2870,3700,19800
146,3104,4400,19800
147,2987,4000,19800
148,2723,3900,19800
149,3021,3900,19800
150,2587,3700,19800
151,2833,3700,19800
152,2933,4100,19800
153,2755,3800,19800
154,2778,4000,19800
155,2879,4300,19800
156,2603,3400,19800
157,2669,3600,19800
158,2885,3800,19800
159,2938,3900,19800
160,2795,3900,19800
161,2493,3300,19800
162,2681,4100,19800
163,2910,4200,19800
164,2919,3700,19800
165,2443,3800,19800
166,2728,4000,19800
167,2817,4000,19800
168,2730,3700,19800
169,2529,3800,19800
170,2701,3900,19800
171,2592,3800,19800
172,2916,3700,19800
173,2650,3900,19800
174,2773,3700,19800
175,3030,4000,19800
176,2474,3500,19800
177,2159,4000,19800
178,2340,3300,19800
179,2668,3800,19800
180,2365,3800,19800
181,2706,3700,19800
182,3228,4400,19800
183,2735,3700,19800
184,2814,3700,19800
185,2564,3700,19800
186,2603,3400,19800
187,2765,4000,19800
188,2690,3800,19800
189,2873,3800,19800
190,2649,3700,19800
191,3076,4300,19800
192,2790,4200,19800
193,2912,4100,19800
194,2820,3700,19800
195,2833,3700,19800
196,2991,4300,19800
197,2853,4100,19800
198,2890,4100,19800
199,2351,3500,19800
200,2757,3500,19800
