Generation,Average,Best,Updates
0,150,2000,10000
1,684,2100,10000
2,1328,2700,10000
3,1465,3100,10000
4,1830,3200,10000
5,1790,3100,10000
6,1967,3200,10000
7,2033,3400,10000
8,2037,3500,10000
9,1978,3200,10000
10,2161,3300,10000
11,2216,3300,10000
12,2136,3400,10000
13,2523,4100,10000
14,2436,3200,10000
15,2333,3700,10000
16,2421,3600,10000
17,2276,3800,10000
18,2628,3500,10000
19,2409,3500,10000
20,2536,4100,10000
21,2466,3700,10000
22,2352,3400,10000
23,2549,3900,10000
24,2472,3800,10000
25,2511,3800,10000
26,2312,3800,10000
27,2375,3800,10000
28,2265,3100,10000
29,2315,3500,10000
30,2108,3000,10000
31,2554,3700,10000
32,2431,3400,10000
33,2584,3900,10000
34,2722,3500,10000
35,2563,3700,10000
36,2546,3600,10000
37,2758,3800,10000
38,2582,3900,10000
39,2659,3700,10000
40,2691,3600,10000
41,2690,3800,10000
42,2677,3800,10000
43,2532,3600,10000
44,2555,3700,10000
45,2530,3800,10000
46,2636,3700,10000
47,2632,3600,10000
48,2515,3800,10000
49,2452,3800,10000
50,2518,3700,10000
51,2621,3700,10000
52,2540,4000,10000
53,2402,3600,10000
54,2458,3700,10000
55,2553,3800,10000
56,2754,3900,10000
57,2492,3500,10000
58,2572,3600,10000
59,2722,3600,10000
60,2758,3600,10000
61,2661,3800,10000
62,2670,3600,10000
63,2481,3700,10000
64,2528,4100,10000
65,2717,3700,10000
66,2448,3400,10000
67,2627,3800,10000
68,2728,3900,10000
69,2634,3600,10000
70,2862,4000,10000
71,2420,3500,10000
72,2290,3900,10000
73,2546,3500,10000
74,2636,3600,10000
75,2476,3700,10000
76,2640,4100,10000
77,2732,3800,10000
78,2532,3600,10000
79,2712,4100,10000
80,2517,3600,10000
81,2440,3400,10000
82,2700,3700,10000
83,2686,3700,10000
84,2606,3600,10000
85,2890,4000,10000
86,2617,3500,10000
87,2777,3700,10000
88,2996,4300,10000
89,2635,4100,10000
90,2715,3600,10000
91,2594,3500,10000
92,2813,3700,10000
93,2794,4500,10000
94,2650,4300,10000
95,2728,3700,10000
96,2445,4100,10000
97,2744,4200,10000
98,2777,3800,10000
99,2825,3900,10000
100,2518,3700,10000
101,2662,4000,10000
102,2512,3500,10000
103,2678,3700,10000
104,2368,3300,10000
105,2654,3800,10000
106,2730,4100,10000
107,2488,3300,10000
108,2551,3400,10000
109,2511,3800,10000
110,2632,3900,10000
111,2654,3600,10000
112,2776,4200,10000
113,2551,3600,10000
114,2835,3900,10000
115,2590,3600,10000
116,2597,4300,10000
117,2561,3600,10000
118,2551,3700,10000
119,2724,3700,10000
120,2608,3900,10000
121,2836,3900,10000
122,2788,3900,10000
123,2763,3800,10000
124,2635,3800,10000
125,2477,3600,10000
126,2739,3900,10000
127,2545,3600,10000
128,2810,3700,10000
129,2731,4100,10000
130,2869,4000,10000
131,2879,4000,10000
132,3074,4100,10000
133,2807,3800,10000
134,2923,4200,10000
135,2960,4300,10000
136,2809,3700,10000
137,2727,4100,10000
138,2757,4200,10000
139,2965,4200,10000
140,2801,4200,10000
141,2784,3900,10000
142,2630,3800,10000
143,3041,4200,10000
144,2884,4500,10000
145,2783,4100,10000
146,2589,3600,10000
147,3018,4100,10000
148,2703,3700,10000
149,2700,4000,10000
150,2895,3900,10000
151,2686,3900,10000
152,2762,4000,10000
153,2763,4000,10000
154,2699,4000,10000
155,2695,3900,10000
156,2942,4200,10000
157,2662,3600,10000
158,2691,4000,10000
159,2679,3900,10000
160,2781,3800,10000
161,2844,3900,10000
162,2659,3800,10000
163,3023,4000,10000
164,2793,3800,10000
165,2837,3800,10000
166,2984,4100,10000
167,2722,3900,10000
168,2890,4000,10000
169,2787,3800,10000
170,2915,4000,10000
171,2881,4200,10000
172,2870,4000,10000
173,2637,3900,10000
174,2722,3700,10000
175,3016,4000,10000
176,3030,4100,10000
177,2992,4300,10000
178,3081,4000,10000
179,2917,4000,10000
180,2788,3700,10000
181,2894,3800,10000
182,2623,3500,10000
183,2370,3300,10000
184,2888,4000,10000
185,2643,3800,10000
186,2918,4400,10000
187,2698,3900,10000
188,2712,3700,10000
189,2492,3500,10000
190,2588,3800,10000
191,2445,3800,10000
192,2547,3700,10000
193,2379,3600,10000
194,2722,3800,10000
195,2893,3900,10000
196,2962,4500,10000
197,2851,3900,10000
198,2750,4300,10000
199,2663,3600,10000
200,2727,3600,10000
