generation,averageFitness,topFitness
0,153,1600
1,785,2150
2,510.5,2750
3,760.5,2050
4,1041,2150
5,1323,2600
6,1097,2100
7,965.5,2100
8,1110,2100
9,558,1650
10,602.5,2300
11,426,1150
12,1124.5,2200
13,1774.5,2800
14,1077,2250
15,1554.5,2350
16,686,1750
17,1211.5,2300
18,1859.5,2800
19,1842,2500
20,829,2200
21,1106,2100
22,1000.5,1900
23,1076.5,2300
24,1921.5,2850
25,213,1350
26,1166.5,1950
27,972,1750
28,1441,2300
29,1535.5,2450
30,1295.5,2400
31,646,1700
32,1463,2350
33,872.5,1600
34,1425,2650
35,1894,2900
36,979,1800
37,1285,2000
38,1475,2300
39,1354.5,2250
40,1637.5,2450
41,2090.5,2850
42,1587.5,2650
43,1429,2500
44,1129.5,2050
45,1326.5,2150
46,703.5,2000
47,1674,2450
48,1802,3000
49,919.5,2300
50,754,2050
51,1027.5,2150
52,1548,2600
53,966,2050
54,1359.5,2450
55,1642,2600
56,1604.5,2750
57,1307,2200
58,1283.5,2550
59,1719,2600
60,1439.5,2500
61,1134,2350
62,1317.5,2800
63,1770.5,2750
64,1622.5,2950
65,1546.5,2750
66,1664,2600
67,1531,2800
68,1530,2500
69,1296,2500
70,1437,2650
71,1669,2550
72,1573.5,2600
73,1526,2650
74,1618.5,2750
75,1297,2600
76,1279,2450
77,1670,2800
78,1847.5,2750
79,1194,2050
80,1279.5,2300
81,1385.5,2500
82,1365,2300
83,1547.5,2700
84,959.5,1850
85,1710,2350
86,1165,2150
87,1094.5,1900
88,1130.5,2100
89,1495,2000
90,1099,2100
91,1573,2500
92,1411.5,2200
93,791.5,1500
94,1301.5,1950
95,1678,2650
96,1394.5,2100
97,1448.5,2400
98,473.5,1800
99,1308.5,2200
100,1438,2550
101,907.5,1900
102,610,1400
103,1251,2250
104,1423.5,2450
105,1293,2300
106,1727,2500
107,1362,2200
108,1249,2350
109,1594,2250
110,848,2000
111,620.5,1550
112,1370,1950
113,1154,2000
114,1441,2650
115,1235,1950
116,1391,2400
117,1264.5,2150
118,1158,2300
119,1487,2300
120,1185,2350
121,1063.5,2150
122,1381.5,2300
123,1525,2450
124,1194,2300
125,1474.5,2450
126,1449,2400
127,1291.5,2400
128,1195,2400
129,1321,2500
130,1143.5,2500
131,1425.5,2450
132,1350,2500
133,1013.5,2000
134,1244.5,2350
135,1356.5,2400
136,1504.5,2250
137,845,2200
138,1396.5,2500
139,1579.5,2650
140,1669,2500
141,1463.5,2400
142,1548,2500
143,1730,2650
144,1479.5,2600
145,1224,2450
146,1478.5,2400
147,1322,2450
148,1580.5,2300
149,1623.5,2500
150,1344.5,2550
151,1013,1950
152,1234.5,2150
153,1355.5,2550
154,1185.5,2550
155,1330.5,2600
156,1634.5,2650
157,1097,2350
158,1693.5,2850
159,1406.5,2550
160,1525.5,2700
161,1705,2750
162,1535,2950
163,1250,2250
164,1233.5,2500
165,1097,2400
166,1276.5,2600
167,1752,2450
168,1825,2500
169,1141.5,2200
170,1737,2650
171,1439,2200
172,1612.5,2550
173,1863,2450
174,1154.5,2250
175,1552.5,2800
176,1760,2650
177,1216,2050
178,1626.5,2350
179,1526.5,2500
180,1343.5,2300
181,1241,2450
182,1281.5,2400
183,1671.5,2900
184,1921,2700
185,1725,2600
186,1691,2550
187,1958,2700
188,1601,2700
189,1234.5,2200
190,1944.5,2600
191,1387,2550
192,1583.5,2800
193,1566.5,2600
194,1478,2450
195,1124.5,2300
196,1429,2700
197,1516.5,2450
198,1151.5,2300
199,1734,2700
200,1664,2600
201,1486,2700
202,1650.5,2450
203,1441,2500
204,1479.5,2550
205,1407,2500
206,1488.5,2700
207,1670.5,2450
208,794,2500
209,1457,2550
210,1679.5,2650
211,1660.5,2800
212,1406.5,2300
213,1567,2500
214,1490.5,2700
215,1062,2000
216,1356.5,2600
217,1821.5,2650
218,1555.5,2550
219,1678.5,2750
220,1476.5,2600
221,1402,2350
222,1019,2150
223,1580.5,2750
224,1480.5,2650
225,599,2600
226,1681,2900
227,1181.5,2600
228,1241,2550
229,1528,2600
230,1473,2550
231,1291.5,2300
232,1311.5,2600
233,1417.5,2550
234,1135.5,2500
235,666,2400
236,1083.5,2250
237,1041.5,2650
238,1241.5,2300
239,1050,2250
240,940.5,2000
241,1201,2400
242,1003.5,1900
243,744,1800
244,761.5,2250
245,1308,2700
246,178.5,1650
247,797.5,1700
248,1068,2450
249,777.5,2050
250,183.5,1500
251,684,2100
252,428,2200
253,510.5,1600
254,852.5,2150
