generation,averageFitness,topFitness
0,410,1950
1,1430.5,2450
2,1361.5,2650
3,1730.5,2950
4,1393,2650
5,1702,2750
6,1822.5,2850
7,1892,2650
8,1852,2900
9,721.5,2300
10,1906,2650
11,1721.5,2600
12,1494.5,2500
13,1376,2650
14,1868,3000
15,1913.5,2800
16,2347,2850
17,1981,2700
18,1824.5,2800
19,1982.5,2800
20,2127.5,2900
21,2025,2800
22,1943,2950
23,2166,3000
24,1706,2700
25,2052,2950
26,1965,2850
27,1872,2800
28,1840.5,3000
29,1827,2900
30,1846,2700
31,2157,2700
32,2003.5,2650
33,1506.5,2600
34,2102,2900
35,1931,2950
36,1912.5,2850
37,2141,2850
38,2034,2900
39,1453,2700
40,2339,2850
41,2272.5,2900
42,2530.5,2950
43,1964.5,2500
44,2309,2950
45,2340.5,3000
46,2180,2700
47,2385,2900
48,2229,2850
49,1932.5,2800
50,2104,2750
51,2386,3000
52,2341,3000
53,1840,2950
54,2008,3000
55,2359,3000
56,2138.5,2950
57,2247,2950
58,1915,2850
59,2094.5,3000
60,2173.5,2850
61,1909.5,2750
62,2428.5,2950
63,1657,2650
64,1789,3000
65,2233,2950
66,2078.5,2900
67,2142.5,2950
68,2184,2750
69,2276.5,3000
70,2360.5,3000
71,1972.5,2700
72,2165.5,2900
73,2062,2950
74,2225,2950
75,2198,2900
76,2038,3000
77,1989,2900
78,2415,3000
79,1904.5,2700
80,2179,3000
81,1541.5,2500
82,2040.5,2900
83,1945.5,2900
84,2118.5,2750
85,1704,2500
86,1757.5,2600
87,1582.5,2600
88,2053,2850
89,1903.5,2750
90,2140,3000
91,2086,2950
92,2350,3000
93,1887.5,2800
94,1931.5,2850
95,1743,2750
96,1690,2950
97,1723.5,2800
98,2042.5,2900
99,1587.5,2750
100,1290,2800
101,1816,3000
102,1708.5,2800
103,2077,2800
104,1717,2850
105,2027.5,2900
106,1572,2700
107,2044,2850
108,1151,3000
109,2099,2800
110,1934,2700
111,2343,3000
112,1912.5,2850
113,1924,2850
114,1892,2950
115,2224,2900
116,2217,2900
117,2616,2950
118,2468,3000
119,2291,2850
120,2443.5,3000
121,2397,3000
122,2069,2650
123,1976.5,2800
124,2003,2850
125,2320.5,3000
126,2043.5,2750
127,2296.5,2900
128,1501.5,2500
129,2384.5,3000
130,1651.5,2500
131,2274.5,2900
132,1922.5,2900
133,2128,2950
134,1847.5,2650
135,1871,2900
136,2044.5,2700
137,1949.5,2750
138,2056,2850
139,2169,2850
140,2244,2900
141,2183,2950
142,2337,2900
143,2055,2850
144,2050.5,2650
145,1766,2600
146,2110.5,2850
147,2411,2900
148,2072.5,2950
149,1956,2900
150,2166.5,2900
151,2076,3000
152,2295.5,2950
153,2387.5,2950
154,2192.5,3000
155,2240,2950
156,2099.5,2900
157,1688,2700
158,2055.5,2850
159,2223,2900
160,2092.5,2700
161,2134.5,2800
162,1821,2850
163,2358,2850
164,1969.5,2750
165,2352.5,2900
166,2279,2950
167,2337.5,3000
168,2208,2950
169,2295,3000
170,1778.5,2500
171,2140,2800
172,2091.5,2900
173,1790.5,2750
174,2090,2800
175,1665,2700
176,2482,2950
177,2374,2950
178,2033.5,2950
179,2365,3000
180,2153,2850
181,2228,2950
182,1619,2700
183,2150,2950
184,2103,2950
185,1926.5,2850
186,1912,2650
187,2037.5,2800
188,2113,2900
189,2189,2900
190,1323.5,2450
191,2091,2850
192,2377,2900
193,2027.5,2800
194,1923,2650
195,2309.5,2950
196,1875.5,2750
197,2139,2900
198,1859.5,2750
199,2225.5,2850
200,1921,2800
