generation,averageFitness,topFitness
0,216.5,1350
1,1934.5,2650
2,2274,2850
3,2135.5,2750
4,2175.5,2750
5,2275,2750
6,1814.5,2600
7,1644,2700
8,1745,2750
9,1114,2650
10,1626,2550
11,2312.5,2850
12,1738.5,2800
13,2153.5,2850
14,2225,2800
15,1646,2700
16,1892.5,2700
17,1696.5,2700
18,1785,2550
19,1570,2600
20,1424.5,2600
21,1692,2700
22,1387,2750
23,2023,2800
24,1890.5,2600
25,1846,2750
26,1756.5,2600
27,1922.5,2750
28,1913,2900
29,1853.5,2650
30,2137,2800
31,1956,2950
32,2220.5,2750
33,2241.5,2900
34,2007.5,2650
35,2018,2850
36,2102,2850
37,2142,2950
38,1901.5,2650
39,2208,2850
40,2429.5,2800
41,2471,2950
42,2398,2800
43,2468,2800
44,2435,2950
45,2528,2900
46,2539,2900
