Step,Best,Average
10000,3200,122
20000,2600,178
30000,1700,146
40000,2900,211
50000,2500,128
60000,2400,162
70000,1800,141
80000,1200,94
90000,2100,132
100000,1600,157
110000,1800,141
120000,4300,180
130000,2200,141
140000,3000,210
150000,2700,151
160000,3100,189
170000,1900,147
180000,3000,197
190000,2400,124
200000,4400,214
210000,2300,188
220000,1800,187
230000,1900,171
240000,3000,136
250000,2300,214
260000,4700,246
270000,1500,115
280000,1500,154
290000,1600,119
300000,3500,200
310000,2000,219
320000,2000,126
330000,3400,190
340000,2400,146
350000,2200,146
360000,3200,123
370000,1600,186
380000,1000,94
390000,2400,180
400000,2800,124
410000,1500,149
420000,1700,185
430000,1700,140
440000,1800,185
450000,2800,172
460000,1900,121
470000,2200,150
480000,1700,109
490000,1900,192
500000,2100,145
510000,3200,222
520000,1300,148
530000,2900,225
540000,1800,119
550000,2100,202
560000,1800,130
570000,2000,152
580000,1900,177
590000,2600,137
600000,2700,128
610000,1700,112
620000,1800,136
630000,2000,195
640000,1900,156
650000,2000,180
660000,1700,110
670000,2700,220
680000,2100,161
690000,3000,147
700000,3000,233
710000,1900,208
720000,2900,119
730000,4200,238
740000,2100,141
750000,2300,144
760000,3200,215
770000,2600,130
780000,1800,121
790000,2400,119
800000,2100,125
810000,1700,96
820000,1300,155
830000,1500,141
840000,1900,145
850000,1800,168
860000,2500,210
870000,2000,111
880000,2700,227
890000,1200,168
900000,2300,207
910000,1800,107
920000,1400,136
930000,3700,192
940000,1800,125
