Step,Best,Average
1,1000,148.5
2,2400,1436
3,2650,1877.5
4,2700,1877
5,2700,2072
6,2650,1715.5
7,2900,2247
8,2650,1815
9,2850,2322
10,2650,2039
11,2650,1955.5
12,2750,2264.5
13,2550,1887
14,2700,1824
15,2750,1834.5
16,2750,1998
17,2800,1694.5
18,2400,1563
19,2700,1950
20,2400,1504
21,2750,1917.5
22,2600,1720
23,2450,1730
24,2700,1768.5
25,2500,1747
26,2650,1918
27,2850,1951
28,2700,1775.5
29,2550,1778.5
30,2750,2004
31,2700,1703.5
32,2650,2035
33,2800,1819.5
34,2700,1968
35,2400,1645.5
36,2500,1927
37,2600,1701
