Step,Best,Average
10000,5200,164
20000,2400,160
30000,2000,108
40000,4500,189
50000,2800,144
60000,1900,144
70000,7600,295
80000,7600,217
90000,6800,196
100000,7800,240
110000,7400,187
120000,8400,233
130000,7300,150
140000,6900,244
150000,7800,252
160000,7300,157
170000,6700,187
180000,6800,254
190000,6600,123
200000,6000,247
210000,6900,200
220000,7700,202
230000,7300,302
240000,7600,201
250000,6600,276
260000,6400,200
270000,7700,178
280000,7400,192
290000,7500,298
300000,8300,242
310000,8300,230
320000,6800,311
330000,7200,223
340000,7400,287
350000,7200,214
360000,6600,275
370000,6400,167
380000,7300,201
390000,8100,256
400000,8700,218
410000,5800,181
420000,7400,290
430000,9100,207
440000,6600,257
450000,6500,229
460000,7500,269
470000,6400,230
480000,7700,210
490000,7900,231
500000,6800,121
510000,8700,251
520000,7700,258
530000,8100,204
540000,6900,299
550000,7600,207
560000,6000,147
570000,7600,227
580000,7400,300
590000,7900,230
600000,7900,204
610000,7700,185
620000,6600,268
630000,7100,235
640000,7100,179
650000,6600,242
660000,8500,208
670000,7100,229
680000,6900,214
690000,8200,246
700000,6800,253
710000,6700,288
720000,8000,154
730000,8200,183
740000,6200,197
750000,8000,226
760000,8400,219
770000,7800,266
780000,7700,181
790000,7500,245
800000,6200,262
810000,7300,181
820000,7200,205
830000,8000,258
840000,7900,243
850000,8300,262
860000,7600,220
870000,8000,225
880000,7500,130
890000,7100,267
900000,7100,214
910000,7600,179
920000,7800,246
930000,6100,193
940000,6800,213
950000,7800,208
960000,8000,201
970000,7000,337
980000,8100,370
990000,6900,213
1000000,6300,236
1010000,7300,227
1020000,7200,258
1030000,7200,232
1040000,7300,194
1050000,7500,201
1060000,8300,225
1070000,6000,236
1080000,6800,226
1090000,7100,236
1100000,7400,204
1110000,7400,215
1120000,7900,217
1130000,6400,219
1140000,7400,278
