generation,averageFitness,topFitness
0,181.5,900
1,129.5,650
2,261.5,950
3,198,800
4,310,800
5,135.5,600
6,429.5,1500
7,694.5,1250
8,625,1600
9,1057,1700
10,772,1500
11,1176,2000
12,1236.5,2300
13,1157,1950
14,1397.5,2100
15,1449,2050
16,1014.5,1650
17,1685.5,2150
18,1267,1650
19,1168,1550
20,1381,2000
21,1226,2250
22,558.5,1350
23,723.5,1150
24,701.5,1600
25,1020.5,1400
26,810.5,1300
27,1151.5,1850
28,979,1550
29,560,1150
30,1391,2100
31,1247.5,1900
32,952,1950
33,1545.5,2000
34,1210,1800
35,1573.5,2200
36,1374,1900
37,1404.5,2050
38,1698,2250
39,1523.5,2400
40,1255.5,1850
41,1191,1800
42,1290.5,1850
43,1205.5,2050
44,1284.5,2400
45,1381,2100
46,974,2150
47,1341.5,1950
48,1555,2100
49,1338.5,2350
