Generation,Average,Best,Updates
0,67,1000,0
1,101,700,19800
2,74,650,19800
3,148,700,19800
4,158.5,800,19800
5,100,450,19800
6,307,1000,19800
7,428,1050,19800
8,184,650,19800
9,286.5,1100,19800
10,270.5,1050,19800
11,231,900,19800
12,286.5,1100,19800
13,358.5,850,19800
14,287.5,1100,19800
15,307.5,1050,19800
16,233.5,950,19800
17,351,1200,19800
18,581,1450,19800
19,67,400,19800
20,59.5,300,19800
21,3.5,150,19800
22,47,650,19800
23,426,1350,19800
24,157,1050,19800
25,203,1000,19800
26,142,800,19800
27,62,350,19800
28,2.5,150,19800
29,52,550,19800
30,81,650,19800
31,56,450,19800
32,145.5,950,19800
33,113.5,850,19800
34,62.5,500,19800
35,110.5,700,19800
36,28.5,350,19800
37,49,400,19800
38,0,0,19800
39,9.5,350,19800
40,13,500,19800
41,0,0,19800
42,7,200,19800
43,32.5,350,19800
44,145,850,19800
45,89.5,850,19800
46,28,650,19800
47,305,1000,19800
48,474.5,1350,19800
49,327,1200,19800
50,233,1050,19800
51,224.5,850,19800
52,106.5,700,19800
53,82.5,1300,19800
54,116.5,1050,19800
55,20,1000,19800
56,119.5,750,19800
57,253.5,500,19800
58,475.5,750,19800
59,1,100,19800
60,22.5,100,19800
61,41,300,19800
62,117,250,19800
63,131,400,19800
64,265.5,500,19800
65,479,900,19800
66,47.5,300,19800
67,23,100,19800
68,421.5,550,19800
69,310,900,19800
70,210.5,400,19800
71,150,550,19800
72,153,400,19800
73,206,450,19800
74,261,650,19800
75,153.5,1150,19800
76,166.5,700,19800
77,351.5,600,19800
78,777,1500,19800
79,737,1450,19800
80,499.5,1000,19800
81,100,950,19800
82,617,1250,19800
83,630,1300,19800
84,414.5,1400,19800
85,718.5,1200,19800
86,413,1150,19800
87,748.5,1550,19800
88,998.5,1600,19800
89,863,1800,19800
90,526.5,1450,19800
91,364.5,1100,19800
92,849.5,1550,19800
93,791.5,1650,19800
94,586.5,1750,19800
95,554,1400,19800
96,811.5,1900,19800
97,845.5,1550,19800
98,953.5,1750,19800
99,760.5,1600,19800
100,634,1500,19800
101,935,1550,19800
102,695.5,1800,19800
103,623.5,1500,19800
104,905,1600,19800
105,883,1550,19800
106,738,1700,19800
107,781.5,1600,19800
108,837.5,1900,19800
109,663,1550,19800
110,1087,1700,19800
111,938.5,1750,19800
112,1042,2000,19800
113,943,1600,19800
114,1008.5,1600,19800
115,853.5,1700,19800
116,1107,1800,19800
117,662.5,1650,19800
118,1169.5,1900,19800
119,1222.5,1950,19800
120,1028.5,1800,19800
121,1295,2000,19800
122,1254.5,1950,19800
123,467,1650,19800
124,1159.5,1850,19800
125,954.5,1600,19800
126,1266.5,1950,19800
127,1143,1900,19800
128,1181,2000,19800
129,783.5,1600,19800
130,1024,2050,19800
131,908,1700,19800
132,1038,1800,19800
133,1085,1750,19800
134,1060.5,1800,19800
135,758,1500,19800
136,1189.5,1900,19800
137,1136.5,1750,19800
138,1159,1750,19800
139,1326,2150,19800
140,1156.5,1850,19800
141,1260,1900,19800
142,1293,1900,19800
143,957,1900,19800
144,1171.5,1950,19800
145,1269.5,1950,19800
146,1353.5,2050,19800
147,1243,1900,19800
148,1139,1750,19800
149,1080.5,1750,19800
150,1342,2050,19800
151,1019.5,2200,19800
152,1547.5,2100,19800
153,1467,2150,19800
154,1444.5,2000,19800
155,1343.5,1950,19800
156,1406,1950,19800
157,1350.5,2050,19800
158,1333,1900,19800
159,576.5,2000,19800
160,1543.5,2050,19800
161,1461,1950,19800
162,1094,2150,19800
163,1318,1800,19800
164,1409,2200,19800
165,1507,2100,19800
166,1422.5,1950,19800
167,1293,1900,19800
168,1291,2000,19800
169,1477,1950,19800
170,1381.5,2000,19800
171,1099,1950,19800
172,1412,1950,19800
173,1447.5,2150,19800
174,1208,1750,19800
175,1146,1850,19800
176,1297,2050,19800
177,1548,2150,19800
178,1380.5,1850,19800
179,1280,1950,19800
180,1142.5,1650,19800
181,1242.5,1850,19800
182,1437.5,1950,19800
183,1351,1900,19800
184,1149.5,1850,19800
185,1131.5,2050,19800
186,1395,1900,19800
187,1310,1750,19800
188,1458.5,2000,19800
189,1503,2100,19800
190,1337.5,1950,19800
191,1304.5,1850,19800
192,1326,1950,19800
193,1385,2300,19800
194,1158,1800,19800
195,1054.5,1800,19800
196,912,2000,19800
197,1218,1900,19800
198,1210,1700,19800
199,1300.5,2000,19800
200,1320.5,2150,19800
201,1115.5,1800,19800
202,1292,2000,19800
203,1190,1900,19800
204,1239,2000,19800
205,1147.5,1800,19800
206,1023,1800,19800
207,1008,1600,19800
208,834.5,1600,19800
209,1013,1900,19800
210,1066,1850,19800
211,1142,1950,19800
212,1030,1750,19800
213,1430,2050,19800
214,1125.5,2000,19800
215,1246.5,1900,19800
216,1001,1900,19800
217,778,1750,19800
218,1123.5,1750,19800
219,1207.5,1850,19800
220,1334.5,2100,19800
