Generation,Average,Best,Updates
0,64,1250,0
1,365.5,1500,19000
2,821.5,1850,19000
3,1065.5,2200,19000
4,1074,2000,19000
5,1405.5,2300,19000
6,1275,2050,19000
7,1367,2100,19000
8,1397.5,2200,19000
9,1505,2150,19000
10,1662.5,2250,19000
11,1584,2400,19000
12,1645.5,2300,19000
13,1862,2500,19000
14,1977.5,2450,19000
15,1945,2500,19000
16,2002.5,2550,19000
17,2044.5,2700,19000
18,2037,2600,19000
19,2080,2550,19000
20,2039.5,2600,19000
21,2079.5,2750,19000
22,2102,2600,19000
23,2128,2650,19000
24,2139,2550,19000
25,2092.5,2600,19000
26,2065,2500,19000
27,2070.5,2650,19000
28,2103,2650,19000
29,2043,2650,19000
30,2236.5,2750,19000
31,2147,2550,19000
32,2222.5,2700,19000
33,2210,2750,19000
34,2163.5,2650,19000
35,2154,2600,19000
36,2300,2750,19000
37,2117.5,2550,19000
38,2166,2650,19000
39,2100,2650,19000
40,2119,2600,19000
41,2093,2500,19000
42,2331,2750,19000
43,2371,2800,19000
44,2155,2600,19000
45,2152,2650,19000
46,2292.5,2750,19000
47,2235.5,2650,19000
48,2174,2650,19000
49,2310.5,2800,19000
50,2107.5,2500,19000
51,2131,2600,19000
52,2307,2800,19000
53,2178,2650,19000
54,2235.5,2700,19000
55,2141,2700,19000
56,2216.5,2800,19000
57,2229,2750,19000
58,2193.5,2600,19000
59,2229.5,2700,19000
60,2212,2550,19000
61,2183,2650,19000
62,2279.5,2750,19000
63,2101.5,2500,19000
64,2259,2650,19000
65,2195,2650,19000
66,2197.5,2700,19000
67,2243.5,2700,19000
68,2156,2600,19000
69,2221.5,2600,19000
70,2328,2700,19000
71,2205,2650,19000
72,2089.5,2550,19000
73,2056,2500,19000
74,2106,2600,19000
75,2309.5,2750,19000
76,2161,2650,19000
77,2067,2500,19000
78,2195,2600,19000
79,2145.5,2650,19000
80,1962,2500,19000
81,2137,2700,19000
82,2245,2700,19000
83,2078,2650,19000
84,2208,2650,19000
85,2066,2550,19000
86,2040,2500,19000
87,2204,2550,19000
88,2176.5,2700,19000
89,2161.5,2850,19000
90,2101,2550,19000
91,2077,2600,19000
92,2117.5,2650,19000
93,2155.5,2650,19000
94,2052.5,2650,19000
95,2145,2650,19000
96,2017,2600,19000
97,2138,2650,19000
98,1987,2500,19000
99,2257,2700,19000
100,2113,2500,19000
101,2162,2650,19000
102,2200,2600,19000
103,2318,2800,19000
104,2273.5,2650,19000
105,2287,2750,19000
106,2340.5,2800,19000
107,2207,2700,19000
108,2247.5,2700,19000
109,2257,2700,19000
110,2326,2700,19000
111,2268.5,2650,19000
112,2233,2700,19000
113,2331.5,2700,19000
114,2283.5,2750,19000
115,2259.5,2750,19000
116,2281.5,2700,19000
117,2191,2600,19000
118,2295,2750,19000
119,2276,2700,19000
120,2293.5,2750,19000
121,2260,2700,19000
122,2279,2750,19000
123,2315,2800,19000
124,2313,2700,19000
125,2284,2850,19000
126,2236,2850,19000
127,2208,2700,19000
128,2134,2700,19000
129,2314.5,2650,19000
130,2349.5,2750,19000
131,2296,2750,19000
132,2288.5,2700,19000
133,2285,2650,19000
134,2306.5,2700,19000
135,2337.5,2950,19000
136,2321.5,2750,19000
137,2341,2800,19000
138,2268.5,2900,19000
139,2384,2800,19000
140,2352,2700,19000
141,2346.5,2800,19000
142,2247.5,2800,19000
143,2321.5,2700,19000
144,2224,2700,19000
145,2399,2850,19000
146,2298.5,2850,19000
147,2183,2650,19000
