Generation,Average,Best,Updates
0,43.5,1200,0
1,220,1800,19800
2,692,1800,19800
3,831,1650,19800
4,1209.5,2200,19800
5,1237.5,1950,19800
6,1205.5,2050,19800
7,1240,2000,19800
8,1258.5,2200,19800
9,927.5,2000,19800
10,1200.5,1950,19800
11,1186.5,2150,19800
12,1283.5,2050,19800
13,1450,2350,19800
14,1601.5,2200,19800
15,1237.5,2200,19800
16,1503.5,2200,19800
17,1706.5,2350,19800
18,1660,2250,19800
19,1312.5,2150,19800
20,1633,2500,19800
21,1484,2250,19800
22,1548,2250,19800
23,1515,2150,19800
24,1481,2250,19800
25,1669.5,2500,19800
26,1703,2500,19800
27,1741,2500,19800
28,1524,2050,19800
29,1807,2500,19800
30,1492.5,2100,19800
31,1221.5,2050,19800
32,1312,1900,19800
33,1567,2100,19800
34,1706.5,2600,19800
35,1557.5,2250,19800
36,1612,2300,19800
37,1472,2300,19800
38,1647.5,2450,19800
39,1460.5,2200,19800
40,1525,2200,19800
41,1611.5,2300,19800
42,1570,2300,19800
43,1357.5,2250,19800
44,1535.5,2150,19800
45,1536,2050,19800
46,1639,2450,19800
47,1529.5,2250,19800
48,1654,2450,19800
49,1575,2450,19800
50,1741,2350,19800
51,1762,2500,19800
52,1710.5,2300,19800
53,1842,2450,19800
54,1662.5,2500,19800
55,1819.5,2400,19800
56,1545.5,2100,19800
57,1717,2500,19800
58,1710.5,2450,19800
59,1609,2200,19800
60,1762,2400,19800
61,1841.5,2450,19800
62,1796,2300,19800
63,1851.5,2550,19800
64,1504,2250,19800
65,1713.5,2350,19800
66,1890,2450,19800
67,1854.5,2400,19800
68,1711.5,2250,19800
69,1784,2550,19800
70,1929.5,2550,19800
71,1856.5,2400,19800
72,1806,2500,19800
73,1854.5,2400,19800
74,1836.5,2500,19800
75,1988.5,2450,19800
76,1923.5,2550,19800
77,1967,2550,19800
78,1869.5,2450,19800
79,1795.5,2400,19800
80,1896,2600,19800
81,1703.5,2550,19800
82,1747.5,2400,19800
83,1893,2500,19800
84,1884,2500,19800
85,1910,2650,19800
86,1765,2300,19800
87,1886,2550,19800
88,1917.5,2700,19800
89,1802,2300,19800
90,1823,2550,19800
91,1725.5,2300,19800
92,1859.5,2500,19800
93,1757.5,2400,19800
94,1655.5,2250,19800
95,1744.5,2350,19800
96,1790.5,2450,19800
97,1631,2300,19800
98,1804,2400,19800
99,1647.5,2350,19800
100,1763,2450,19800
101,2029,2650,19800
102,1918,2500,19800
103,1835,2400,19800
104,1929,2500,19800
105,1618,2150,19800
106,2027,2500,19800
107,1710.5,2300,19800
108,1939.5,2550,19800
109,1869,2550,19800
110,1907.5,2500,19800
111,1764.5,2400,19800
112,1835.5,2500,19800
113,1966.5,2500,19800
114,1827,2350,19800
115,1956.5,2600,19800
116,2025.5,2550,19800
117,1761,2350,19800
118,1566,2000,19800
119,1917,2550,19800
120,1893.5,2500,19800
121,1864.5,2500,19800
122,1862.5,2350,19800
123,1958.5,2600,19800
124,1823.5,2550,19800
125,1840.5,2350,19800
126,1828,2300,19800
127,1798.5,2600,19800
128,1852.5,2350,19800
129,1814,2350,19800
130,1921,2500,19800
131,1907,2500,19800
132,1463,2150,19800
133,1996,2500,19800
134,1760.5,2450,19800
135,1762,2350,19800
136,2009.5,2700,19800
137,1832.5,2400,19800
138,1875,2550,19800
139,1780.5,2450,19800
140,1758,2300,19800
141,1505,2200,19800
142,1778,2350,19800
143,1954,2450,19800
144,1569.5,2100,19800
145,1958.5,2600,19800
146,1787.5,2550,19800
147,1680,2200,19800
148,1768,2250,19800
149,1900.5,2500,19800
150,1761,2300,19800
151,1830,2500,19800
152,1696.5,2300,19800
153,1812.5,2450,19800
154,1746,2250,19800
155,1744.5,2500,19800
156,1737,2200,19800
157,1693.5,2450,19800
158,1647.5,2300,19800
159,1767,2300,19800
160,1948.5,2350,19800
161,1759,2350,19800
162,1979,2500,19800
163,1924,2500,19800
164,1797,2400,19800
165,1773.5,2250,19800
166,1781.5,2450,19800
167,1732.5,2500,19800
168,1914,2600,19800
169,1729.5,2400,19800
170,1810.5,2450,19800
171,1856,2400,19800
172,2072.5,2500,19800
173,2012.5,2650,19800
174,2046.5,2550,19800
175,1805.5,2350,19800
176,2054.5,2550,19800
177,1950,2450,19800
178,1536.5,2100,19800
179,1783.5,2200,19800
180,1900,2450,19800
181,1946,2500,19800
182,1925,2550,19800
183,1868,2450,19800
184,1711.5,2500,19800
185,1990,2450,19800
186,1920.5,2650,19800
187,1902.5,2550,19800
188,1972,2650,19800
189,1945.5,2500,19800
190,2100,2700,19800
191,2111.5,2700,19800
192,2124,2600,19800
193,2006.5,2700,19800
194,2006,2650,19800
195,1866.5,2400,19800
196,1868,2550,19800
197,1900.5,2400,19800
198,1916.5,2500,19800
199,1882.5,2600,19800
200,1943.5,2600,19800
201,1851,2400,19800
202,1726.5,2450,19800
203,1816.5,2350,19800
204,1657,2400,19800
205,1953.5,2500,19800
206,1948,2500,19800
207,1818,2350,19800
208,1914,2500,19800
209,2085,2550,19800
210,1956,2700,19800
211,1934,2400,19800
212,1847,2550,19800
213,1843.5,2600,19800
214,1786,2300,19800
215,1746,2200,19800
216,1785.5,2500,19800
217,1864.5,2500,19800
218,1837.5,2400,19800
219,1792,2300,19800
220,2008,2700,19800
221,1771,2250,19800
222,1972,2550,19800
223,1681,2350,19800
224,1790,2350,19800
225,1793.5,2400,19800
226,1839.5,2400,19800
227,1889.5,2500,19800
228,1963,2400,19800
229,1935,2450,19800
230,1947,2600,19800
231,1890.5,2300,19800
232,1954,2400,19800
233,1952.5,2450,19800
234,1726,2300,19800
235,1738,2200,19800
236,1584,2150,19800
237,1748,2400,19800
238,1758.5,2650,19800
239,1896,2650,19800
240,1893.5,2550,19800
241,1998,2650,19800
242,1804,2200,19800
243,1874,2600,19800
244,1958,2500,19800
245,2012.5,2600,19800
246,1707,2200,19800
247,1516,2300,19800
248,1678.5,2350,19800
249,1692,2150,19800
250,1726.5,2450,19800
251,1863,2400,19800
252,1955,2450,19800
253,1847,2650,19800
254,1672.5,2300,19800
255,1951.5,2500,19800
256,1832.5,2350,19800
257,1968,2550,19800
258,1842.5,2450,19800
259,1795.5,2250,19800
260,1935,2400,19800
261,1950.5,2450,19800
262,1922,2500,19800
263,1926,2600,19800
264,2052,2500,19800
265,1962.5,2450,19800
266,2037,2600,19800
267,1850.5,2350,19800
268,2009.5,2600,19800
269,1771.5,2350,19800
270,1997,2450,19800
271,1970,2450,19800
272,1837,2350,19800
273,2022.5,2500,19800
274,1900,2450,19800
275,1923,2450,19800
276,1996,2400,19800
277,1963.5,2450,19800
278,1964.5,2500,19800
279,1845,2450,19800
280,1943.5,2550,19800
281,1952,2450,19800
282,1753.5,2600,19800
283,1750,2350,19800
284,1832.5,2400,19800
285,1872,2750,19800
286,2030.5,2700,19800
287,1807.5,2600,19800
288,1963,2600,19800
289,1856,2550,19800
290,1879.5,2600,19800
291,1910.5,2500,19800
292,1957,2450,19800
293,2085,2600,19800
294,1958,2650,19800
295,1915.5,2550,19800
296,1925.5,2500,19800
297,1900.5,2400,19800
298,1970.5,2450,19800
299,1885,2650,19800
300,1859.5,2300,19800
301,1999,2600,19800
302,2006.5,2500,19800
303,1914,2500,19800
304,1824.5,2350,19800
305,1885,2400,19800
306,1801.5,2350,19800
307,1912.5,2500,19800
308,1867,2550,19800
309,2008,2650,19800
310,1707,2350,19800
311,1992.5,2550,19800
312,1918.5,2400,19800
313,1803,2400,19800
314,1901.5,2350,19800
315,1950.5,2500,19800
316,1919.5,2450,19800
317,1963.5,2600,19800
318,1907,2600,19800
319,1939.5,2650,19800
320,1958,2550,19800
321,1901,2500,19800
322,1926.5,2550,19800
323,1829.5,2400,19800
324,1817,2450,19800
325,2043.5,2550,19800
326,1766.5,2300,19800
327,1811,2350,19800
328,1892,2550,19800
329,1787,2450,19800
330,1903.5,2450,19800
331,1944,2550,19800
332,1640.5,2150,19800
333,1869.5,2550,19800
334,1760,2200,19800
335,1846,2500,19800
336,1822,2400,19800
337,1684.5,2500,19800
338,1838,2450,19800
339,1629.5,2300,19800
340,1603,2150,19800
341,1845,2450,19800
342,1768,2350,19800
343,1851.5,2400,19800
344,1600,2200,19800
345,1871.5,2350,19800
346,1848,2450,19800
347,1822.5,2450,19800
348,1907,2450,19800
349,1685.5,2300,19800
350,1742.5,2400,19800
351,1711,2350,19800
352,1587.5,2200,19800
353,1850,2450,19800
354,1878,2600,19800
355,1851,2650,19800
356,1979,2600,19800
357,1730,2200,19800
358,1855,2350,19800
359,1881,2400,19800
360,1944,2750,19800
361,1864.5,2550,19800
362,1876.5,2500,19800
363,1923,2500,19800
364,1937.5,2500,19800
365,1931,2550,19800
366,1966.5,2400,19800
367,1816.5,2450,19800
368,1980.5,2450,19800
369,2008,2550,19800
370,1950.5,2400,19800
371,1987.5,2600,19800
372,1997,2550,19800
373,1929.5,2400,19800
374,1939.5,2550,19800
375,1823.5,2450,19800
376,2001,2500,19800
377,1893.5,2500,19800
378,2098,2700,19800
379,1830,2350,19800
380,1932.5,2550,19800
381,1885.5,2550,19800
382,2065.5,2600,19800
383,2027.5,2550,19800
384,2043.5,2550,19800
385,2142.5,2700,19800
386,1946.5,2600,19800
387,2174.5,2750,19800
388,1905,2400,19800
389,1919,2550,19800
390,1953.5,2500,19800
391,1970,2600,19800
392,2075.5,2550,19800
393,1963.5,2600,19800
394,2041,2400,19800
395,1922.5,2500,19800
396,1990.5,2600,19800
397,1753.5,2350,19800
398,2008.5,2600,19800
399,1928,2650,19800
400,1866,2450,19800
401,1917,2450,19800
402,2032,2550,19800
403,2081,2650,19800
404,1920,2500,19800
405,1905.5,2550,19800
406,1969,2550,19800
407,1956.5,2650,19800
408,2019,2500,19800
409,2024.5,2700,19800
410,1956.5,2500,19800
411,1991,2550,19800
412,1908,2450,19800
413,1773,2250,19800
414,1863.5,2450,19800
415,1912.5,2600,19800
416,1723.5,2450,19800
417,2103,2600,19800
418,1901,2600,19800
419,2033.5,2600,19800
420,1899.5,2500,19800
421,1801,2600,19800
422,2016,2500,19800
423,1907.5,2550,19800
424,1847,2300,19800
425,1976,2450,19800
426,2104.5,2600,19800
427,1997,2550,19800
428,2195,2750,19800
429,2135,2800,19800
430,1982.5,2600,19800
431,1979.5,2650,19800
432,1952,2400,19800
433,1882.5,2550,19800
434,2005.5,2550,19800
435,2073,2550,19800
436,2072,2550,19800
437,2082,2550,19800
438,2243.5,2700,19800
439,2168,2650,19800
440,2004.5,2450,19800
441,2154.5,2700,19800
442,2148.5,2550,19800
443,2084.5,2500,19800
444,2131.5,2600,19800
445,1918.5,2600,19800
446,2087.5,2800,19800
447,1927,2400,19800
448,1963,2500,19800
449,2152,2650,19800
450,1959,2550,19800
451,2016,2600,19800
452,2115,2550,19800
453,2063.5,2600,19800
454,2023.5,2650,19800
455,1912,2400,19800
456,1990.5,2650,19800
457,2065.5,2500,19800
458,2110,2600,19800
459,1935.5,2500,19800
460,1944.5,2600,19800
461,1983.5,2550,19800
462,1992,2550,19800
463,1919,2500,19800
464,2008.5,2600,19800
465,1864.5,2500,19800
466,1871.5,2550,19800
467,2012,2600,19800
468,2016.5,2450,19800
469,2248,2700,19800
470,2147,2650,19800
471,2021,2500,19800
472,2156.5,2750,19800
473,2081.5,2500,19800
474,2175,2600,19800
475,2067.5,2600,19800
476,2001,2450,19800
477,2107.5,2650,19800
478,2136.5,2800,19800
479,2205,2750,19800
480,2172.5,2600,19800
481,2053,2600,19800
482,2064.5,2600,19800
483,2232,2600,19800
484,2259,2600,19800
485,2089,2650,19800
486,2254.5,2750,19800
487,2180,2700,19800
488,2088.5,2700,19800
489,2118.5,2650,19800
490,2113,2600,19800
491,2116,2550,19800
492,2107.5,2550,19800
493,2068,2500,19800
494,2153.5,2750,19800
495,1981.5,2600,19800
496,1763.5,2250,19800
497,1962.5,2550,19800
498,1793,2400,19800
499,1936,2600,19800
500,2057,2550,19800
