Generation,Average,Best,Updates
0,64.5,1000,10000
1,296,1100,10000
2,546.5,1300,10000
3,519,1250,10000
4,723,1600,10000
5,664.5,1700,10000
6,690,1600,10000
7,881.5,1900,10000
8,860.5,1950,10000
9,977.5,1850,10000
10,942,1700,10000
11,916.5,1850,10000
12,844,1750,10000
13,969,1900,10000
14,952,1850,10000
15,1046.5,2150,10000
16,917,2000,10000
17,1012,1850,10000
18,1179,2300,10000
19,948.5,1600,10000
20,1103,1900,10000
21,916.5,2000,10000
22,1546.5,2500,10000
23,948,2100,10000
24,1614.5,2350,10000
25,1110,2150,10000
26,1426.5,2400,10000
27,1201,2550,10000
28,1414,2100,10000
29,1383.5,2250,10000
30,1654.5,2200,10000
31,1367,2500,10000
32,1644,2450,10000
33,1364,2300,10000
34,1475,2250,10000
35,1475,2250,10000
36,1638.5,2600,10000
37,1355.5,2000,10000
38,1420.5,2150,10000
39,1463.5,2450,10000
40,1346,1950,10000
41,1402,2250,10000
42,1400,2250,10000
43,1470.5,2300,10000
44,1451.5,2300,10000
45,1553,2250,10000
46,1572,2250,10000
47,1637,2300,10000
48,1502,2200,10000
49,1594.5,2200,10000
50,1555.5,2300,10000
51,1581,2400,10000
52,1682,2550,10000
53,1608.5,2300,10000
54,1678,2450,10000
55,1590,2400,10000
56,1636.5,2250,10000
57,1550.5,2350,10000
58,1631,2150,10000
59,1736,2300,10000
60,1705.5,2350,10000
61,1446,2200,10000
62,1649,2300,10000
63,1707.5,2300,10000
64,1609.5,2200,10000
65,1693.5,2350,10000
66,1731.5,2400,10000
67,1637.5,2400,10000
68,1874.5,2600,10000
69,1745,2300,10000
70,1727,2400,10000
71,1720,2350,10000
72,1709,2400,10000
73,1659.5,2350,10000
74,1741.5,2600,10000
75,1629.5,2300,10000
76,1739,2600,10000
77,1640,2400,10000
78,1748.5,2200,10000
79,1754,2400,10000
80,1687,2550,10000
81,1762.5,2200,10000
82,1604,2250,10000
83,1737.5,2450,10000
84,1644,2350,10000
85,1833,2350,10000
86,1813,2500,10000
87,1800,2450,10000
88,1745.5,2450,10000
89,1712,2400,10000
90,1740.5,2450,10000
91,1708.5,2600,10000
92,1773,2500,10000
93,1714,2350,10000
94,1868,2400,10000
95,1634,2600,10000
96,1894.5,2600,10000
97,1807,2450,10000
98,1806.5,2550,10000
99,1821,2600,10000
100,1746.5,2500,10000
101,1871.5,2550,10000
102,1885,2450,10000
103,1983,2500,10000
104,1837,2500,10000
105,1816,2650,10000
106,1834.5,2450,10000
107,1787.5,2400,10000
108,1932.5,2600,10000
109,1775.5,2450,10000
110,1908,2550,10000
111,1819,2350,10000
112,1834.5,2450,10000
113,1715,2200,10000
114,1901.5,2550,10000
115,1931,2600,10000
116,1834.5,2350,10000
117,1994,2600,10000
118,1901.5,2500,10000
119,1790,2500,10000
120,1803,2500,10000
121,1989.5,2600,10000
122,1947,2600,10000
123,1829.5,2500,10000
124,1847.5,2500,10000
125,1880,2400,10000
126,1980.5,2500,10000
127,1932,2650,10000
128,1864,2500,10000
129,1868,2450,10000
130,1959,2600,10000
131,1895.5,2500,10000
132,2082,2500,10000
133,1867,2450,10000
134,1880,2650,10000
135,1803.5,2550,10000
136,2089.5,2500,10000
137,2013,2550,10000
138,1969,2600,10000
139,1941.5,2450,10000
140,1863.5,2350,10000
141,1922.5,2600,10000
142,1975.5,2600,10000
143,1943.5,2550,10000
144,2110.5,2700,10000
145,2014,2450,10000
146,1987,2500,10000
147,1976,2500,10000
148,1975,2600,10000
149,2013.5,2650,10000
150,2064.5,2550,10000
151,2039.5,2650,10000
152,2043.5,2700,10000
153,1899,2350,10000
154,1943,2600,10000
155,1920.5,2450,10000
156,2135,2600,10000
157,1875.5,2400,10000
158,2078.5,2650,10000
159,2006.5,2600,10000
160,2048,2650,10000
161,1991.5,2750,10000
162,2111,2550,10000
163,2026,2550,10000
164,2111.5,2650,10000
165,2094,2700,10000
166,2037.5,2600,10000
167,2069,2500,10000
168,2093,2550,10000
169,2073,2650,10000
170,2149.5,2750,10000
171,2072,2700,10000
172,2080.5,2600,10000
173,2053,2550,10000
174,2027.5,2600,10000
175,2161.5,2650,10000
176,1992.5,2650,10000
177,2098.5,2700,10000
178,2035,2600,10000
179,2098.5,2600,10000
180,2155.5,2600,10000
181,1984,2550,10000
182,2086.5,2650,10000
183,2132.5,2700,10000
184,2108,2600,10000
185,2024.5,2600,10000
186,2109,2750,10000
187,1996,2400,10000
188,2147,2800,10000
189,2028,2600,10000
190,2160,2650,10000
191,2085,2600,10000
192,1973,2750,10000
193,2010,2550,10000
194,2208,2750,10000
195,2079,2650,10000
196,2230.5,2850,10000
197,2121,2750,10000
198,2017,2650,10000
199,2131,2750,10000
200,2089,2700,10000
201,2159.5,2750,10000
202,2073,2600,10000
203,2149.5,2750,10000
204,2069,2550,10000
205,2091,2700,10000
206,2066,2600,10000
207,2135,2700,10000
